"lang"
{ 
	"Language" "schinese" 
	"Tokens" 
	{
	"addon_game_name" 	 "Boss 生存冒险"
	"admin" 	 "<font color='#FF0000'>管理员已连接！</font>"
	"ban" 	 "<font color='#FF0000'>注意！！！检测到作弊模式！！！游戏自动结束！！！</font>"
	
	"npc_dota_hero_dado_statue"	"Dado"
	"npc_dota_hero_triss_statue"	"Triss"
	"npc_dota_hero_destroyer_statue"	"Destroyer"
	"npc_dota_hero_anakim_statue"	"Anakim"
	
	"成员""成员："
	"input_guild_name" "输入名称！"
	" "create_guild_main" "创建公会需要200水晶！"
	"create_guild_main2" "输入公会名称！"
	"离开" "离开公会！"
	"leave_gm" "解散公会！"
	"reward_1""游戏开始时获得的金币"
	"reward_2" "所有公会成员的伤害抗性百分比"
	"reward_3" "所有公会成员每次击杀的经验百分比"
	"reward_4" "% 几率掉落稀有和传奇中性物品"
	"reward_5" "所有公会成员的输出伤害百分比"
	"reward_6" "每个英雄等级的每个属性"
	"guild_aegis_icon" "所有公会成员在游戏开始时都会收到圣盾"
	"guild_rune_icon" "当符文被激活时，所有盟友都会获得随机效果"
	"guild_menu_open_button" "公会"
	
	"win" "WIN!"

//==============================================================================================================CUSTOM========================================================================================================================

	"dota_tooltip_modifier_no_heal" "Traps"
	"dota_tooltip_modifier_no_heal_description" "Your health is not restored until you pass this zone!"
	
	"up_item" "我们在改进什么？"
	"up_description" "<font color='#0078bd'>项目 1-5：</font> <br> <font color='#00cc15'>100% 升级率</font> <br>
	<font color='#0078bd'>6 级：</font> <br> <font color='#00cc15'>90% 的改进机会</font> <br>
	<font color='#0078bd'>7 级：</font> <br> <font color='#00cc15'>80% 升级几率</font> <br>
	<font color='#0078bd'>8 级：</font> <br> <font color='#00cc15'>70% 升级几率</font> <br>
	<font color='#0078bd'>9 级：</font> <br> <font color='#00cc15'>60% 升级几率</font> <br>
	<font color='#0078bd'>10 级：</font> <br> <font color='#00cc15'>50% 升级几率</font> <br>
	<font color='#0078bd'>11 级：</font> <br> <font color='#00cc15'>40% 升级几率</font> <br>
	<font color='#0078bd'>12 级：</font> <br> <font color='#00cc15'>30% 升级几率</font> <br>
	<font color='#0078bd'>13 级：</font> <br> <font color='#00cc15'>20% 升级几率</font> <br>"

	"dota_tooltip_modifier_player_exp" "敌人经验值"
	"dota_tooltip_modifier_player_exp_description" "杀死怪物会给你 %dMODIFIER_PROPERTY_TOOLTIP%%% 经验。"

	"Discord" "Discord"
	"telegram" "奖金电报"
	"web" "网站"
	"learn" "学习？"

	"shop" 	 "店铺"
	"rank_r" 	 "等级："
	"time_pass" 	 "通关时间： "
	"minutes" 	 "分钟"
	"sec" 	 "秒"
	"rait" 	 "评分："
	"level" 	 "等级："
	"no_data" 	 "暂无游戏通关数据！"
	
	"pdiff_1" 	 "难度：1"
	"pdiff_2" 	 "难度：2"
	"pdiff_3" 	 "难度：3"
	"pdiff_4" 	 "难度：4"
	"pdiff_5" 	 "难度：5"
	"pdiff_6" 	 "难度：6"
	"pdiff_7" 	 "难度：7"
	"pdiff_8" 	 "难度：8"
	"pdiff_9" 	 "难度：9"
	"pdiff_10" 	 "难度：10"
	"pdiff_11" 	 "难度：11"
	"pdiff_12" 	 "难度：12"

	"yes" 	 "好的"
	"no" 	 "不"
	"takeoff" 	 "送回？"

	"DOTA_Tooltip_ability_item_account_exp" 	 "账户经验书"
	"DOTA_Tooltip_ability_item_account_exp_description" 	 "当你使用账户经验书时，你会永远失去它，但会得到帐户经验！"
	"DOTA_Tooltip_ability_item_account_exp_exp" 	 "+账户经验"

	"DOTA_Tooltip_ability_item_d_pet" 	 "???"
	"DOTA_Tooltip_ability_item_d_pet_description" 	 "秘密宠物"
	
	"dota_tooltip_modifier_difficult" 	 "难度级别："
	"Diff_1" 	 "怪物生命值60%\n怪物承受伤害150%\n怪物伤害60%\n怪物技能冷却时间120%怪物攻击速度加成+5"
	"Diff_2" 	 "怪物生命值80%\n怪物承受伤害140%\n怪物伤害80%\n怪物技能冷却时间115%怪物攻击速度加成+10"
	"Diff_3" 	 "怪物生命值100%\n怪物承受伤害130%\n怪物伤害100%\n怪物技能冷却时间110%怪物攻击速度加成+15"
	"Diff_4" 	 "怪物生命值120%\n怪物承受伤害120%\n怪物伤害120%\n怪物技能冷却时间105%怪物攻击速度加成+20"
	"Diff_5" 	 "怪物生命值140%\n怪物承受伤害110%\n怪物伤害140%\n怪物技能冷却时间100%怪物攻击速度加成+25"
	"Diff_6" 	 "怪物生命值160%\n怪物承受伤害100%\n怪物伤害160%\n怪物技能冷却时间95%怪物攻速加成+30"
	"Diff_7" 	 "怪物生命值180%\n怪物承受伤害90%\n怪物伤害180%\n怪物技能冷却时间90%怪物攻击速度加成+35"
	"Diff_8" 	 "怪物生命值200%\n怪物承受伤害80%\n怪物伤害200%\n怪物技能冷却85%怪物攻击速度加成+40"
	"Diff_9" 	 "怪物生命值220%\n怪物承受伤害70%\n怪物伤害220%\n怪物技能冷却80%怪物攻击速度加成+45"
	"Diff_10" 	 "怪物生命值240%\n怪物承受伤害60%\n怪物伤害240%\n怪物技能冷却75%怪物攻击速度加成+50"
	"Diff_11" 	 "怪物生命值 260% \n 怪物承受伤害 50% \n 对怪物伤害 260% \n 怪物技能冷却时间 70% 怪物攻击速度加成 +55 地图随机事件发生"
	"Diff_12" 	 "怪物生命值280%\n怪物承受伤害40%\n怪物伤害280%\n怪物技能冷却65%怪物攻速加成+60地图随机事件发生"
	"Diff_13" 	 "怪物生命值280%\n怪物承受伤害40%\n怪物伤害280%\n怪物技能冷却65%怪物攻速加成+60地图随机事件发生"

	"npc_ua_statue" 	 "雕像"
	"who_spawn" 	 "我们在给谁打电话？"
		
	"account" 	 "帐户"
	"level" 	 "等级"
	"Rank" 	 "MMR"
	"Games" 	 "游戏结束"
	"Bonus_str" 	 "力量"
	"Bonus_agi" 	 "敏捷"
	"Bonus_int" 	 "智力"
	"Bonus_hpr" 	 "生命恢复"
	"Bonus_mpr" 	 "法力恢复"
	"Bonus_ms" 	 "移动速度加成"
	"Bonus_armor" 	 "护甲"
	"Bonus_mresist" 	 "魔法抗性"
	"Bonus_exp" 	 "经验获取"
	"Bonus_cd" 	 "冷却时间减少"
	"Bonus_damage" 	 "攻击力"
	"Bonus_as" 	 "攻击速度"
	"Bonus_eva" 	 "闪避概率"
	"Bonus_spell" 	 "技能增强"
	"str" 	 "+1 力量"
	"agi" 	 "+1 敏捷"
	"int" 	 "+1 智力"
	"hpr" 	 "+0.5 生命恢复"
	"mpr" 	 "+0.5 魔法恢复"
	"ms" 	 "+2 移动速度"
	"armor" 	 "+0.5 护甲"
	"mresist" 	 "+0.5% 魔法抗性"
	"exp" 	 "+0.5% 经验值"
	"cd" 	 "+0.5% 冷却缩减"
	"dm" 	 "+3攻击力"
	"as" 	 "+2 攻击速度"
	"eva" 	 "+1% 闪避"
	"spell" 	 "+0.5% 法术增强"
	"need_more" 	 "宝石总数："
	"gamer" 	 "播放器"
	"gamer_rating" 	 "评分"
	"rating" 	 "评分"
	"kda" 	 "游戏结束"
			
	"dota_tooltip_modifier_easy" 	 "简单难度"
	"dota_tooltip_modifier_normal" 	 "普通难度"
	"dota_tooltip_modifier_hard" 	 "困难重重"
	"dota_tooltip_modifier_ultra" 	 "超难关"
	"dota_tooltip_modifier_easy_description" 	 "怪物生命值 75%%\n 怪物伤害 125%%\n 怪物伤害 75%%\n 怪物技能冷却时间 125%%"
	"dota_tooltip_modifier_normal_description" 	 "怪物生命值 100%% \n 怪物伤害 100%% \n 怪物伤害 100%% \n 怪物技能冷却时间 100%%"
	"dota_tooltip_modifier_hard_description" 	 "怪物生命值 200%% \n 怪物伤害 75%% \n 怪物伤害 200%% \n 怪物技能冷却时间 75%%"
	"dota_tooltip_modifier_ultra_description" 	 "怪物生命值 250%% \n 怪物伤害 50%% \n 怪物伤害 250%% \n 怪物技能冷却时间 50%%"
				
	"equipmentlabel" 	 "装备"
	"head_set" 	 "头盔"
	"armor_set" 	 "盔甲"
	"glovers_set" 	 "手套"
	"pants_set" 	 "裤子/手套"
	"weapon_set" 	 "武器"
	"boots_set" 	 "靴子"
				
//==============================================================================================================CUSTOM========================================================================================================================	

	"blacksmith" 	 "书店"

	"DOTA_Tooltip_ability_ability_slot_1" 	 "技能书"
	"DOTA_Tooltip_ability_ability_slot_1_description" 	 "使用技能之书学习一种技能"
			
	"DOTA_Tooltip_ability_ability_slot_2" 	 "技能书"
	"DOTA_Tooltip_ability_ability_slot_2_description" 	 "使用技能之书学习一种技能"
			
	"DOTA_Tooltip_ability_ability_slot_3" 	 "技能书"
